jnspemda,kodefungsi,fungsi,kodesubfungsi,subfungsi,kodeurusan,urusan/unsur,kodebidang,uraibidang,kodeprogram,uraiprogram,kodekegiatan,uraikegiatan,kodesubkegiatan,uraisubkegiatan,kinerja,indikator,satuan
KABKOT,04,EKONOMI,09,Telekomunikasi dan Informatika,2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.16,URUSAN PEMERINTAHAN BIDANG KOMUNIKASI DAN INFORMATIKA,2.16.03,PROGRAM PENGELOLAAN APLIKASI INFORMATIKA,2.16.03.2.02,Pengelolaan E-government di Lingkup Pemerintah Daerah Kabupaten/Kota,2.16.03.2.02.03,Pengelolaan Pusat Data Pemerintahan Daerah,Terkelolanya Pusat Data Pemerintahan Daerah,Jumlah Pusat Data Pemerintahan Daerah yang Dikelola,Unit
KABKOT,04,EKONOMI,09,Telekomunikasi dan Informatika,2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.16,URUSAN PEMERINTAHAN BIDANG KOMUNIKASI DAN INFORMATIKA,2.16.03,PROGRAM PENGELOLAAN APLIKASI INFORMATIKA,2.16.03.2.02,Pengelolaan E-government di Lingkup Pemerintah Daerah Kabupaten/Kota,2.16.03.2.02.04,Penyelenggaraan Sistem Komunikasi Intra Pemerintah Daerah,Terlaksananya Penyelenggaraan Sistem Komunikasi Intra Pemerintah Daerah,Jumlah Dokumen Hasil Penyelenggaraan Sistem Komunikasi Intra Pemerintah Daerah,Dokumen
KABKOT,04,EKONOMI,09,Telekomunikasi dan Informatika,2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.16,URUSAN PEMERINTAHAN BIDANG KOMUNIKASI DAN INFORMATIKA,2.16.03,PROGRAM PENGELOLAAN APLIKASI INFORMATIKA,2.16.03.2.02,Pengelolaan E-government di Lingkup Pemerintah Daerah Kabupaten/Kota,2.16.03.2.02.05,Koordinasi dan Sinkronisasi Sistem Keamanan Informasi,Terlaksananya Koordinasi dan Sinkronisasi Sistem Keamanan Informasi,Jumlah Dokumen Hasil Koordinasi dan Sinkronisasi Sistem Keamanan Informasi,Dokumen
KABKOT,04,EKONOMI,09,Telekomunikasi dan Informatika,2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.16,URUSAN PEMERINTAHAN BIDANG KOMUNIKASI DAN INFORMATIKA,2.16.03,PROGRAM PENGELOLAAN APLIKASI INFORMATIKA,2.16.03.2.02,Pengelolaan E-government di Lingkup Pemerintah Daerah Kabupaten/Kota,2.16.03.2.02.06,Koordinasi dan Sinkronisasi Data dan Informasi Elektronik,Terlaksananya Koordinasi dan Sinkronisasi Data dan Informasi Elektronik,Jumlah Perangkat Daerah yang Menerapkan Koordinasi dan Sinkronisasi Data dan Informasi Elektronik,Perangkat Daerah
KABKOT,04,EKONOMI,09,Telekomunikasi dan Informatika,2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.16,URUSAN PEMERINTAHAN BIDANG KOMUNIKASI DAN INFORMATIKA,2.16.03,PROGRAM PENGELOLAAN APLIKASI INFORMATIKA,2.16.03.2.02,Pengelolaan E-government di Lingkup Pemerintah Daerah Kabupaten/Kota,2.16.03.2.02.07,Pengembangan Aplikasi dan Proses Bisnis Pemerintahan Berbasis Elektronik,Terlaksananya Pengembangan Aplikasi dan Proses Bisnis Pemerintahan Berbasis Elektronik,Jumlah Aplikasi dan Proses Bisnis Pemerintahan Berbasis Elektronik yang Dikembangkan,Unit
KABKOT,04,EKONOMI,09,Telekomunikasi dan Informatika,2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.16,URUSAN PEMERINTAHAN BIDANG KOMUNIKASI DAN INFORMATIKA,2.16.03,PROGRAM PENGELOLAAN APLIKASI INFORMATIKA,2.16.03.2.02,Pengelolaan E-government di Lingkup Pemerintah Daerah Kabupaten/Kota,2.16.03.2.02.08,Penyelenggaraan Sistem Penghubung Layanan Pemerintah,Terlaksananya Penyelenggaran Sistem Penghubung Layanan Pemerintah ,Jumlah Layanan Publik yang Terhubung dengan Sistem Penghubung Layanan Pemerintah Daerah,Layanan
KABKOT,04,EKONOMI,09,Telekomunikasi dan Informatika,2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.16,URUSAN PEMERINTAHAN BIDANG KOMUNIKASI DAN INFORMATIKA,2.16.03,PROGRAM PENGELOLAAN APLIKASI INFORMATIKA,2.16.03.2.02,Pengelolaan E-government di Lingkup Pemerintah Daerah Kabupaten/Kota,2.16.03.2.02.09,Pengembangan dan Pengelolaan Ekosistem Kabupaten/Kota Cerdas dan Kota Cerdas,Terlaksananya Program Inovasi yang Diimplementasikan Sesuai dengan Masterplan Smart City,Jumlah Dokumen Program Inovasi yang Diimplementasikan Sesuai dengan Masterplan Smart City,Dokumen
KABKOT,04,EKONOMI,09,Telekomunikasi dan Informatika,2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.16,URUSAN PEMERINTAHAN BIDANG KOMUNIKASI DAN INFORMATIKA,2.16.03,PROGRAM PENGELOLAAN APLIKASI INFORMATIKA,2.16.03.2.02,Pengelolaan E-government di Lingkup Pemerintah Daerah Kabupaten/Kota,2.16.03.2.02.10,Pengembangan dan Pengelolaan Sumber Daya Teknologi Informasi dan Komunikasi Pemerintah Daerah,Terlaksananya Pengembangan dan Pengelolaan Sumber Daya Teknologi Informasi dan Komunikasi Pemerintah Daerah,Jumlah Dokumen Pelaksanaan Pengembangan dan Pengelolaan Sumber Daya Teknologi Informasi dan Komunikasi Pemerintah Daerah ,Dokumen
KABKOT,04,EKONOMI,09,Telekomunikasi dan Informatika,2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.16,URUSAN PEMERINTAHAN BIDANG KOMUNIKASI DAN INFORMATIKA,2.16.03,PROGRAM PENGELOLAAN APLIKASI INFORMATIKA,2.16.03.2.02,Pengelolaan E-government di Lingkup Pemerintah Daerah Kabupaten/Kota,2.16.03.2.02.11,Pengelolaan Government Chief Information Officer (GCIO),Terlaksananya Pengelolaan Government Chief Information Officer (GCIO),Jumlah Dokumen Pengelolaan Government Chief Information Officer (GCIO),Dokumen
KABKOT,04,EKONOMI,01,"Perdagangan, Pengembangan Usaha, Koperasi, dan Usaha Kecil dan Menengah (UKM)",2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.17,"URUSAN PEMERINTAHAN BIDANG KOPERASI, USAHA KECIL, DAN MENENGAH",2.17.02,PROGRAM PELAYANAN IZIN USAHA SIMPAN PINJAM,2.17.02.2.01,Penerbitan Izin Usaha Simpan Pinjam untuk Koperasi dengan Wilayah Keanggotaan dalam Daerah Kabupaten/Kota,2.17.02.2.01.01,"Fasilitasi Pemenuhan Izin Usaha Simpan Pinjam dan Pembukaan Kantor Cabang, Cabang Pembantu dan Kantor Kas Koperasi Simpan Pinjam untuk Koperasi dengan Wilayah Keanggotaan dalam Daerah Kabupaten/Kota","Terfasilitasinya Pemenuhan Usaha Simpan Pinjam dan Pembukaan Kantor Cabang, Cabang Pembantu dan Kantor Kas Koperasi Simpan Pinjam untuk Koperasi dengan Wilayah Keanggotaan dalam Daerah Kabupaten/Kota","Jumlah Usaha Simpan Pinjam dan Pembukaan Kantor Cabang, Cabang Pembantu dan Kantor Kas Koperasi Simpan Pinjam untuk Koperasi dengan Wilayah Keanggotaan dalam Daerah Kabupaten/Kota",Unit Usaha
KABKOT,04,EKONOMI,01,"Perdagangan, Pengembangan Usaha, Koperasi, dan Usaha Kecil dan Menengah (UKM)",2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.17,"URUSAN PEMERINTAHAN BIDANG KOPERASI, USAHA KECIL, DAN MENENGAH",2.17.02,PROGRAM PELAYANAN IZIN USAHA SIMPAN PINJAM,2.17.02.2.02,"Penerbitan Izin Pembukaan Kantor Cabang, Cabang Pembantu dan Kantor Kas Koperasi Simpan Pinjam untuk Koperasi dengan Wilayah Keanggotaan dalam Daerah Kabupaten/Kota",2.17.02.2.02.01,"Fasilitasi Pemenuhan Izin Usaha Pembukaan Kantor Cabang, Cabang Pembantu dan Kantor Kas Koperasi Simpan Pinjam untuk Koperasi dengan Wilayah Keanggotaan dalam Daerah Kabupaten/Kota","Terfasilitasinya Pemenuhan Pembukaan Kantor Cabang, Cabang Pembantu dan Kantor Kas Koperasi Simpan Pinjam untuk Koperasi dengan Wilayah Keanggotaan dalam Daerah Kabupaten/Kota","Jumlah Kantor Cabang, Cabang Pembantu dan Kantor Kas Koperasi Simpan Pinjam untuk Koperasi dengan Wilayah Keanggotaan dalam Daerah Kabupaten/Kota",Unit Usaha
KABKOT,04,EKONOMI,01,"Perdagangan, Pengembangan Usaha, Koperasi, dan Usaha Kecil dan Menengah (UKM)",2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.17,"URUSAN PEMERINTAHAN BIDANG KOPERASI, USAHA KECIL, DAN MENENGAH",2.17.03,PROGRAM PENGAWASAN DAN PEMERIKSAAN KOPERASI,2.17.03.2.01,"Pemeriksaan dan Pengawasan Koperasi, Koperasi Simpan Pinjam/Unit Simpan Pinjam Koperasi yang Wilayah Keanggotaannya dalam Daerah Kabupaten/ Kota",2.17.03.2.01.01,"Pengawasan Kekuatan, Kesehatan, Kemandirian, Ketangguhan, serta Akuntabilitas Koperasi Kewenangan Kabupaten/Kota","Terlaksananya Pengawasan Kekuatan, Kesehatan, Kemandirian, Ketangguhan, serta Akuntabilitas Koperasi Kewenangan Kabupaten/Kota","Jumlah Koperasi yang Telah Dilakukan Pengawasan Kekuatan, Kesehatan, Kemandirian, Ketangguhan, serta Akuntabilitas Koperasi Kewenangan Kabupaten/Kota",Unit Usaha
KABKOT,04,EKONOMI,01,"Perdagangan, Pengembangan Usaha, Koperasi, dan Usaha Kecil dan Menengah (UKM)",2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.17,"URUSAN PEMERINTAHAN BIDANG KOPERASI, USAHA KECIL, DAN MENENGAH",2.17.03,PROGRAM PENGAWASAN DAN PEMERIKSAAN KOPERASI,2.17.03.2.01,"Pemeriksaan dan Pengawasan Koperasi, Koperasi Simpan Pinjam/Unit Simpan Pinjam Koperasi yang Wilayah Keanggotaannya dalam Daerah Kabupaten/ Kota",2.17.03.2.01.02,Pemeriksaan Kepatuhan Koperasi Terhadap Peraturan Perundang-Undangan Kewenangan Kabupaten/Kota,Terlaksananya Pemeriksaan Kepatuhan Koperasi Terhadap Peraturan Perundang-Undangan Kewenangan Kabupaten/Kota Kinerja,Jumlah Koperasi yang Memenuhi Peraturan Perundang-Undangan Kewenangan Kabupaten/Kota Kinerja,Unit Usaha
KABKOT,04,EKONOMI,01,"Perdagangan, Pengembangan Usaha, Koperasi, dan Usaha Kecil dan Menengah (UKM)",2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.17,"URUSAN PEMERINTAHAN BIDANG KOPERASI, USAHA KECIL, DAN MENENGAH",2.17.04,PROGRAM PENILAIAN KESEHATAN KSP/USP KOPERASI,2.17.04.2.01,Penilaian Kesehatan Koperasi Simpan Pinjam/Unit Simpan Pinjam Koperasi yang Wilayah Keanggotaanya dalam 1 (Satu) Daerah Kabupaten/Kota,2.17.04.2.01.01,Pelaksanaan Penilaian Kesehatan KSP/USP Koperasi Kewenangan Kabupaten/Kota,Terlaksananya Penilaian Kesehatan KSP/USP Koperasi Kewenangan Kabupaten/Kota,Jumlah Unit Usaha Koperasi yang Telah Dilakukan Penilaian Kesehatan,Unit Usaha
KABKOT,04,EKONOMI,01,"Perdagangan, Pengembangan Usaha, Koperasi, dan Usaha Kecil dan Menengah (UKM)",2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.17,"URUSAN PEMERINTAHAN BIDANG KOPERASI, USAHA KECIL, DAN MENENGAH",2.17.04,PROGRAM PENILAIAN KESEHATAN KSP/USP KOPERASI,2.17.04.2.01,Penilaian Kesehatan Koperasi Simpan Pinjam/Unit Simpan Pinjam Koperasi yang Wilayah Keanggotaanya dalam 1 (Satu) Daerah Kabupaten/Kota,2.17.04.2.01.02,Penghargaan Kesehatan KSP/USP Koperasi Kewenangan Kabupaten/Kota,Terselenggaranya Penghargaan Kesehatan KSP/USP Koperasi Kewenangan Kabupaten/Kota,Jumlah Koperasi yang Mendapatkan Penghargaan Kesehatan,Unit Usaha
KABKOT,04,EKONOMI,01,"Perdagangan, Pengembangan Usaha, Koperasi, dan Usaha Kecil dan Menengah (UKM)",2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.17,"URUSAN PEMERINTAHAN BIDANG KOPERASI, USAHA KECIL, DAN MENENGAH",2.17.05,PROGRAM PENDIDIKAN DAN LATIHAN PERKOPERASIAN,2.17.05.2.01,Pendidikan dan Latihan Perkoperasian Bagi Koperasi yang Wilayah Keanggotaan dalam Daerah Kabupaten/Kota,2.17.05.2.01.01,Peningkatan Pemahaman dan Pengetahuan Perkoperasian serta Kapasitas dan Kompetensi SDM Koperasi,Meningkatnya Pemahaman dan Pengetahuan Perkoperasian serta Kapasitas dan Kompetensi SDM Koperasi,Jumlah SDM yang Memahami Pengetahuan Perkoperasian,Orang
KABKOT,04,EKONOMI,01,"Perdagangan, Pengembangan Usaha, Koperasi, dan Usaha Kecil dan Menengah (UKM)",2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.17,"URUSAN PEMERINTAHAN BIDANG KOPERASI, USAHA KECIL, DAN MENENGAH",2.17.05,PROGRAM PENDIDIKAN DAN LATIHAN PERKOPERASIAN,2.17.05.2.02,Pendidikan dan Latihan UKM bagi UKM dalam Daerah Kabupaten/Kota,2.17.05.2.02.01,Peningkatan Pemahaman dan Pengetahuan UKM serta Kapasitas dan Kompetensi SDM UKM,,,
KABKOT,04,EKONOMI,01,"Perdagangan, Pengembangan Usaha, Koperasi, dan Usaha Kecil dan Menengah (UKM)",2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.17,"URUSAN PEMERINTAHAN BIDANG KOPERASI, USAHA KECIL, DAN MENENGAH",2.17.05,PROGRAM PENDIDIKAN DAN LATIHAN PERKOPERASIAN,2.17.05.2.03,Pendidikan dan Pelatihan SDM Usaha Mikro dalam 1 (Satu) Daerah Kabupaten/Kota,2.17.05.2.03.01,Peningkatan Pemahaman dan Pengetahuan Usaha Mikro serta Kapasitas dan Kompetensi SDM Usaha Mikro,,,
KABKOT,04,EKONOMI,01,"Perdagangan, Pengembangan Usaha, Koperasi, dan Usaha Kecil dan Menengah (UKM)",2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.17,"URUSAN PEMERINTAHAN BIDANG KOPERASI, USAHA KECIL, DAN MENENGAH",2.17.06,PROGRAM PEMBERDAYAAN DAN PERLINDUNGAN KOPERASI,2.17.06.2.01,Pemberdayaan dan Perlindungan Koperasi yang Keanggotaannya dalam Daerah Kabupaten/Kota,2.17.06.2.01.01,"Pemberdayaan Peningkatan Produktivitas, Nilai Tambah, Akses Pasar, Akses Pembiayaan, Penguatan Kelembagaan, Penataan Manajemen, Standarisasi, dan Restrukturisasi Usaha Koperasi Kewenangan Kabupaten/Kota","Meningkatnya Produktivitas, Nilai Tambah, Akses Pasar, Akses Pembiayaan, Penguatan Kelembagaan, Penataan Manajemen, Standarisasi, dan Restrukturisasi Usaha Koperasi Kewenangan Kabupaten/Kota","Jumlah Unit Usaha yang Produktif, Bernilai Tambah, Memiliki Akses Pasar, Akses Pembiayaan, Penguatan Kelembagaan, Penataan Manajemen, Standarisasi, dan Restrukturisasi Usaha Koperasi Kewenangan Kabupaten/Kota",Unit Usaha
KABKOT,04,EKONOMI,01,"Perdagangan, Pengembangan Usaha, Koperasi, dan Usaha Kecil dan Menengah (UKM)",2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.17,"URUSAN PEMERINTAHAN BIDANG KOPERASI, USAHA KECIL, DAN MENENGAH",2.17.06,PROGRAM PEMBERDAYAAN DAN PERLINDUNGAN KOPERASI,2.17.06.2.01,Pemberdayaan dan Perlindungan Koperasi yang Keanggotaannya dalam Daerah Kabupaten/Kota,2.17.06.2.01.02,Penumbuhan Kesadaran Keluarga dalam Peningkatan Taraf Hidup Keluarga Melalui Kehidupan Berkoperasi dan Pengembangan Ekonomi Lainnya,Terlaksananya Penumbuhan Kesadaran Keluarga dalam Peningkatan Taraf Hidup Keluarga Melalui Kehidupan Berkoperasi dan Pengembangan Ekonomi Lainnya,Jumlah Keluarga yang Mengikuti Penumbuhan Kesadaran Keluarga dalam Peningkatan Taraf Hidup Keluarga Melalui Kehidupan Berkoperasi dan Pengembangan Ekonomi Lainnya,Keluarga
KABKOT,04,EKONOMI,01,"Perdagangan, Pengembangan Usaha, Koperasi, dan Usaha Kecil dan Menengah (UKM)",2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.17,"URUSAN PEMERINTAHAN BIDANG KOPERASI, USAHA KECIL, DAN MENENGAH",2.17.07,"PROGRAM PEMBERDAYAAN USAHA MENENGAH, USAHA KECIL, DAN USAHA MIKRO (UMKM)",2.17.07.2.01,"Pemberdayaan Usaha Mikro yang Dilakukan Melalui Pendataan, Kemitraan, Kemudahan Perizinan, Penguatan Kelembagaan dan Koordinasi dengan Para Pemangku Kepentingan",2.17.07.2.01.01,Pendataan Potensi dan Pengembangan Usaha Mikro,Tersedianya Data Potensi dan Pengembangan Usaha Mikro,Jumlah Data Potensi dan Pengembangan Usaha Mikro,Dokumen
KABKOT,04,EKONOMI,01,"Perdagangan, Pengembangan Usaha, Koperasi, dan Usaha Kecil dan Menengah (UKM)",2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.17,"URUSAN PEMERINTAHAN BIDANG KOPERASI, USAHA KECIL, DAN MENENGAH",2.17.07,"PROGRAM PEMBERDAYAAN USAHA MENENGAH, USAHA KECIL, DAN USAHA MIKRO (UMKM)",2.17.07.2.01,"Pemberdayaan Usaha Mikro yang Dilakukan Melalui Pendataan, Kemitraan, Kemudahan Perizinan, Penguatan Kelembagaan dan Koordinasi dengan Para Pemangku Kepentingan",2.17.07.2.01.02,Pemberdayaan Melalui Kemitraan Usaha Mikro,Terfasilitasinya Pemberdayaan Melalui Kemitraan Usaha Mikro,Jumlah Unit Usaha yang Telah Melaksanakan Kemitraan Usaha Mikro,Unit Usaha
KABKOT,04,EKONOMI,01,"Perdagangan, Pengembangan Usaha, Koperasi, dan Usaha Kecil dan Menengah (UKM)",2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.17,"URUSAN PEMERINTAHAN BIDANG KOPERASI, USAHA KECIL, DAN MENENGAH",2.17.07,"PROGRAM PEMBERDAYAAN USAHA MENENGAH, USAHA KECIL, DAN USAHA MIKRO (UMKM)",2.17.07.2.01,"Pemberdayaan Usaha Mikro yang Dilakukan Melalui Pendataan, Kemitraan, Kemudahan Perizinan, Penguatan Kelembagaan dan Koordinasi dengan Para Pemangku Kepentingan",2.17.07.2.01.03,Fasilitasi Kemudahan Perizinan Usaha Mikro,Terfasilitasinya Kemudahan Perizinan Usaha Mikro,Jumlah Usaha Mikro yang Telah Mendapatkan Perizinan,Unit Usaha
KABKOT,04,EKONOMI,01,"Perdagangan, Pengembangan Usaha, Koperasi, dan Usaha Kecil dan Menengah (UKM)",2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.17,"URUSAN PEMERINTAHAN BIDANG KOPERASI, USAHA KECIL, DAN MENENGAH",2.17.07,"PROGRAM PEMBERDAYAAN USAHA MENENGAH, USAHA KECIL, DAN USAHA MIKRO (UMKM)",2.17.07.2.01,"Pemberdayaan Usaha Mikro yang Dilakukan Melalui Pendataan, Kemitraan, Kemudahan Perizinan, Penguatan Kelembagaan dan Koordinasi dengan Para Pemangku Kepentingan",2.17.07.2.01.04,Pemberdayaan Kelembagaan Potensi dan Pengembangan Usaha Mikro,Terfasilitasinya Pemberdayaan Kelembagaan Potensi dan Pengembangan Usaha Mikro,Jumlah Unit Usaha yang Telah Menerima Pembinaan dan Pendampingan Terhadap Usaha Mikro,Unit Usaha
KABKOT,04,EKONOMI,01,"Perdagangan, Pengembangan Usaha, Koperasi, dan Usaha Kecil dan Menengah (UKM)",2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.17,"URUSAN PEMERINTAHAN BIDANG KOPERASI, USAHA KECIL, DAN MENENGAH",2.17.07,"PROGRAM PEMBERDAYAAN USAHA MENENGAH, USAHA KECIL, DAN USAHA MIKRO (UMKM)",2.17.07.2.01,"Pemberdayaan Usaha Mikro yang Dilakukan Melalui Pendataan, Kemitraan, Kemudahan Perizinan, Penguatan Kelembagaan dan Koordinasi dengan Para Pemangku Kepentingan",2.17.07.2.01.05,Koordinasi dan Sinkronisasi dengan Para Pemangku Kepentingan dalam Pemberdayaan Usaha Mikro,Terlaksananya Koordinasi dan Sinkronisasi dengan Para Pemangku Kepentingan dalam Pemberdayaan Usaha Mikro,Jumlah SDM yang Telah Melakukan Koordinasi dan Sinkronisasi dengan Para Pemangku Kepentingan dalam Pemberdayaan Usaha Mikro,Orang
KABKOT,04,EKONOMI,01,"Perdagangan, Pengembangan Usaha, Koperasi, dan Usaha Kecil dan Menengah (UKM)",2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.17,"URUSAN PEMERINTAHAN BIDANG KOPERASI, USAHA KECIL, DAN MENENGAH",2.17.07,"PROGRAM PEMBERDAYAAN USAHA MENENGAH, USAHA KECIL, DAN USAHA MIKRO (UMKM)",2.17.07.2.01,"Pemberdayaan Usaha Mikro yang Dilakukan Melalui Pendataan, Kemitraan, Kemudahan Perizinan, Penguatan Kelembagaan dan Koordinasi dengan Para Pemangku Kepentingan",2.17.07.2.01.06,Peningkatan Pemahaman dan Pengetahuan Usaha Mikro serta Kapasitas dan Kompetensi SDM Usaha Mikro dan Kewirausahaan,Meningkatnya Pemahaman dan Pengetahuan Usaha Mikro serta Kapasitas dan Kompetensi SDM Usaha Mikro dan Kewirausahaan,Jumlah SDM yang Memahami Pengetahuan Usaha Mikro dan Kewirausahaan,Orang
KABKOT,04,EKONOMI,01,"Perdagangan, Pengembangan Usaha, Koperasi, dan Usaha Kecil dan Menengah (UKM)",2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.17,"URUSAN PEMERINTAHAN BIDANG KOPERASI, USAHA KECIL, DAN MENENGAH",2.17.08,PROGRAM PENGEMBANGAN UMKM,2.17.08.2.01,Pengembangan Usaha Mikro dengan Orientasi Peningkatan Skala Usaha Menjadi Usaha Kecil,2.17.08.2.01.01,"Fasilitasi Usaha Mikro Menjadi Usaha Kecil dalam Pengembangan Produksi dan Pengolahan, Pemasaran, SDM, serta Desain dan Teknologi","Terfasilitasinya Usaha Mikro Menjadi Usaha Kecil dalam Pengembangan Produksi dan Pengolahan, Pemasaran, SDM, serta Desain dan Teknologi","Jumlah Unit Usaha Mikro yang Terfasilitasi dalam Pengembangan Produksi dan Pengolahan, Pemasaran, SDM, serta Desain dan Teknologi",Unit Usaha
KABKOT,04,EKONOMI,90,Ekonomi lainnya,2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.18,URUSAN PEMERINTAHAN BIDANG PENANAMAN MODAL,2.18.02,PROGRAM PENGEMBANGAN IKLIM PENANAMAN MODAL,2.18.02.2.01,Penetapan Pemberian Fasilitas/Insentif Dibidang Penanaman Modal yang Menjadi Kewenangan Daerah Kabupaten/Kota,2.18.02.2.01.01,Penetapan Kebijakan Daerah Mengenai Pemberian Fasilitas/Insentif dan Kemudahan Penanaman Modal,Ditetapkannya Kebijakan Daerah dalam Pemberian Fasilitas/Insentif dan Kemudahan Penanaman Modal,Jumlah Peraturan Daerah/Provinsi dalam Pemberian Fasilitas/Insentif dan Kemudahan Penanaman Modal,Dokumen
KABKOT,04,EKONOMI,90,Ekonomi lainnya,2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.18,URUSAN PEMERINTAHAN BIDANG PENANAMAN MODAL,2.18.02,PROGRAM PENGEMBANGAN IKLIM PENANAMAN MODAL,2.18.02.2.01,Penetapan Pemberian Fasilitas/Insentif Dibidang Penanaman Modal yang Menjadi Kewenangan Daerah Kabupaten/Kota,2.18.02.2.01.02,Evaluasi Pelaksanaan Pemberian Fasilitas/Insentif dan Kemudahan Penanaman Modal,Terlaksananya Kegiatan Usaha dari Pelaku Usaha yang Memperoleh Insentif dan Kemudahan Berusaha Di Daerah,Jumlah Kegiatan Usaha dari Pelaku Usaha yang Memperoleh Insentif dan Kemudahan Berusaha di Daerah,Kegiatan Usaha
KABKOT,04,EKONOMI,90,Ekonomi lainnya,2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.18,URUSAN PEMERINTAHAN BIDANG PENANAMAN MODAL,2.18.02,PROGRAM PENGEMBANGAN IKLIM PENANAMAN MODAL,2.18.02.2.02,Pembuatan Peta Potensi Investasi Kabupaten/Kota,2.18.02.2.02.02,Penyediaan Peta Potensi dan Peluang Usaha Kabupaten/Kota,Tersedianya Peta Potensi Investasi dan Peluang Usaha Kabupaten/Kota,Jumlah Peta Potensi Investasi dan Peluang Usaha Kabupaten/Kota,Dokumen
KABKOT,04,EKONOMI,90,Ekonomi lainnya,2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.18,URUSAN PEMERINTAHAN BIDANG PENANAMAN MODAL,2.18.02,PROGRAM PENGEMBANGAN IKLIM PENANAMAN MODAL,2.18.02.2.02,Pembuatan Peta Potensi Investasi Kabupaten/Kota,2.18.02.2.02.01,Penyusunan Rencana Umum Penanaman Modal Daerah Kabupaten/Kota,Tersusunnya Peraturan Daerah (Perda) Rencana Umum Penanaman Modal Daerah Kabupaten/Kota,Jumlah Peraturan Daerah (Perda) Rencana Umum Penanaman Modal Daerah Kabupaten/Kota,Dokumen
KABKOT,04,EKONOMI,90,Ekonomi lainnya,2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.18,URUSAN PEMERINTAHAN BIDANG PENANAMAN MODAL,2.18.03,PROGRAM PROMOSI PENANAMAN MODAL,2.18.03.2.01,Penyelenggaraan Promosi Penanaman Modal yang Menjadi Kewenangan Daerah Kabupaten/Kota,2.18.03.2.01.01,Penyusunan Strategi Promosi Penanaman Modal,Tersusunnya Peraturan Daerah yang Mengatur Promosi Penanaman Modal Kewenangan Kabupaten/Kota,Jumlah Peraturan Daerah yang Mengatur Promosi Penanaman Modal Kewenangan Kabupaten/Kota,Dokumen
KABKOT,04,EKONOMI,90,Ekonomi lainnya,2,Urusan Wajib yang Tidak Berkaitan dengan Pelayanan Dasar,2.18,URUSAN PEMERINTAHAN BIDANG PENANAMAN MODAL,2.18.03,PROGRAM PROMOSI PENANAMAN MODAL,2.18.03.2.01,Penyelenggaraan Promosi Penanaman Modal yang Menjadi Kewenangan Daerah Kabupaten/Kota,2.18.03.2.01.02,Pelaksanaan Kegiatan Promosi Penanaman Modal Daerah Kabupaten/Kota,Terlaksananya Kegiatan Promosi Penanaman Modal Kabupaten/Kota,Jumlah Dokumen Hasil Kegiatan Promosi Penanaman Modal Kabupaten/Kota ,Dokumen
